County,Statistic,CensusYear,Sex,Age Group,value
Carlow,Population 2011 to 2016,2016,Both sexes,45 - 49 years,3914.0
Carlow,Population 2011 to 2016,2016,Both sexes,50 - 54 years,3611.0
Carlow,Population 2011 to 2016,2016,Both sexes,55 - 59 years,3246.0
Carlow,Population 2011 to 2016,2016,Both sexes,60 - 64 years,2864.0
Carlow,Population 2011 to 2016,2016,Both sexes,65 - 69 years,2467.0
Carlow,Population 2011 to 2016,2016,Both sexes,70 - 74 years,1888.0
Carlow,Population 2011 to 2016,2016,Both sexes,75 - 79 years,1355.0
Carlow,Population 2011 to 2016,2016,Both sexes,80 - 84 years,908.0
Carlow,Population 2011 to 2016,2016,Both sexes,85 years and over,739.0
Dublin,Population 2011 to 2016,2016,Both sexes,All ages,1347359.0
Dublin,Population 2011 to 2016,2016,Both sexes,0 - 4 years,91125.0
Dublin,Population 2011 to 2016,2016,Both sexes,5 - 9 years,90706.0
Dublin,Population 2011 to 2016,2016,Both sexes,10 - 14 years,78122.0
Dublin,Population 2011 to 2016,2016,Both sexes,15 - 19 years,78748.0
Dublin,Population 2011 to 2016,2016,Both sexes,20 - 24 years,91983.0
Dublin,Population 2011 to 2016,2016,Both sexes,25 - 29 years,111569.0
Dublin,Population 2011 to 2016,2016,Both sexes,30 - 34 years,123426.0
Dublin,Population 2011 to 2016,2016,Both sexes,35 - 39 years,120544.0
Dublin,Population 2011 to 2016,2016,Both sexes,40 - 44 years,100210.0
Dublin,Population 2011 to 2016,2016,Both sexes,45 - 49 years,86537.0
Dublin,Population 2011 to 2016,2016,Both sexes,50 - 54 years,78349.0
Dublin,Population 2011 to 2016,2016,Both sexes,55 - 59 years,70490.0
Dublin,Population 2011 to 2016,2016,Both sexes,60 - 64 years,60566.0
Dublin,Population 2011 to 2016,2016,Both sexes,65 - 69 years,52746.0
Dublin,Population 2011 to 2016,2016,Both sexes,70 - 74 years,40966.0
Dublin,Population 2011 to 2016,2016,Both sexes,75 - 79 years,31025.0
Dublin,Population 2011 to 2016,2016,Both sexes,80 - 84 years,21971.0
Dublin,Population 2011 to 2016,2016,Both sexes,85 years and over,18276.0
Kildare,Population 2011 to 2016,2016,Both sexes,All ages,222504.0
Kildare,Population 2011 to 2016,2016,Both sexes,0 - 4 years,17314.0
Kildare,Population 2011 to 2016,2016,Both sexes,5 - 9 years,19124.0
Kildare,Population 2011 to 2016,2016,Both sexes,10 - 14 years,17122.0
Kildare,Population 2011 to 2016,2016,Both sexes,15 - 19 years,15479.0
Kildare,Population 2011 to 2016,2016,Both sexes,20 - 24 years,12478.0
Kildare,Population 2011 to 2016,2016,Both sexes,25 - 29 years,12246.0
Kildare,Population 2011 to 2016,2016,Both sexes,30 - 34 years,17030.0
Kildare,Population 2011 to 2016,2016,Both sexes,35 - 39 years,19422.0
Kildare,Population 2011 to 2016,2016,Both sexes,40 - 44 years,18693.0
Kildare,Population 2011 to 2016,2016,Both sexes,45 - 49 years,16235.0
Kildare,Population 2011 to 2016,2016,Both sexes,50 - 54 years,13916.0
Kildare,Population 2011 to 2016,2016,Both sexes,55 - 59 years,11611.0
Kildare,Population 2011 to 2016,2016,Both sexes,60 - 64 years,9820.0
Kildare,Population 2011 to 2016,2016,Both sexes,65 - 69 years,8333.0
Kildare,Population 2011 to 2016,2016,Both sexes,70 - 74 years,5869.0
Kildare,Population 2011 to 2016,2016,Both sexes,75 - 79 years,3573.0
Kildare,Population 2011 to 2016,2016,Both sexes,80 - 84 years,2270.0
Kildare,Population 2011 to 2016,2016,Both sexes,85 years and over,1969.0
Kilkenny,Population 2011 to 2016,2016,Both sexes,All ages,99232.0
Kilkenny,Population 2011 to 2016,2016,Both sexes,0 - 4 years,7112.0
Kilkenny,Population 2011 to 2016,2016,Both sexes,5 - 9 years,7601.0
Kilkenny,Population 2011 to 2016,2016,Both sexes,10 - 14 years,7053.0
Kilkenny,Population 2011 to 2016,2016,Both sexes,15 - 19 years,6548.0
Kilkenny,Population 2011 to 2016,2016,Both sexes,20 - 24 years,4663.0
Kilkenny,Population 2011 to 2016,2016,Both sexes,25 - 29 years,5291.0
Kilkenny,Population 2011 to 2016,2016,Both sexes,30 - 34 years,6696.0
Kilkenny,Population 2011 to 2016,2016,Both sexes,35 - 39 years,7801.0
Kilkenny,Population 2011 to 2016,2016,Both sexes,40 - 44 years,7671.0
Kilkenny,Population 2011 to 2016,2016,Both sexes,45 - 49 years,6869.0
Kilkenny,Population 2011 to 2016,2016,Both sexes,50 - 54 years,6520.0
Kilkenny,Population 2011 to 2016,2016,Both sexes,55 - 59 years,6027.0
Kilkenny,Population 2011 to 2016,2016,Both sexes,60 - 64 years,5327.0
Kilkenny,Population 2011 to 2016,2016,Both sexes,65 - 69 years,4636.0
Kilkenny,Population 2011 to 2016,2016,Both sexes,70 - 74 years,3625.0
Kilkenny,Population 2011 to 2016,2016,Both sexes,75 - 79 years,2474.0
Kilkenny,Population 2011 to 2016,2016,Both sexes,80 - 84 years,1758.0
Kilkenny,Population 2011 to 2016,2016,Both sexes,85 years and over,1560.0
Laois,Population 2011 to 2016,2016,Both sexes,All ages,84697.0
Laois,Population 2011 to 2016,2016,Both sexes,0 - 4 years,6644.0
Laois,Population 2011 to 2016,2016,Both sexes,5 - 9 years,7583.0
Laois,Population 2011 to 2016,2016,Both sexes,10 - 14 years,6585.0
Laois,Population 2011 to 2016,2016,Both sexes,15 - 19 years,5328.0
Laois,Population 2011 to 2016,2016,Both sexes,20 - 24 years,4107.0
Laois,Population 2011 to 2016,2016,Both sexes,25 - 29 years,4899.0
Laois,Population 2011 to 2016,2016,Both sexes,30 - 34 years,6679.0
Laois,Population 2011 to 2016,2016,Both sexes,35 - 39 years,7205.0
Laois,Population 2011 to 2016,2016,Both sexes,40 - 44 years,6365.0
Laois,Population 2011 to 2016,2016,Both sexes,45 - 49 years,5942.0
Laois,Population 2011 to 2016,2016,Both sexes,50 - 54 years,5165.0
Laois,Population 2011 to 2016,2016,Both sexes,55 - 59 years,4624.0
Laois,Population 2011 to 2016,2016,Both sexes,60 - 64 years,3963.0
Laois,Population 2011 to 2016,2016,Both sexes,65 - 69 years,3253.0
Laois,Population 2011 to 2016,2016,Both sexes,70 - 74 years,2523.0
Laois,Population 2011 to 2016,2016,Both sexes,75 - 79 years,1671.0
Laois,Population 2011 to 2016,2016,Both sexes,80 - 84 years,1194.0
Laois,Population 2011 to 2016,2016,Both sexes,85 years and over,967.0
Longford,Population 2011 to 2016,2016,Both sexes,All ages,40873.0
Longford,Population 2011 to 2016,2016,Both sexes,0 - 4 years,3051.0
Longford,Population 2011 to 2016,2016,Both sexes,5 - 9 years,3386.0
Longford,Population 2011 to 2016,2016,Both sexes,10 - 14 years,3071.0
Longford,Population 2011 to 2016,2016,Both sexes,15 - 19 years,2603.0
Longford,Population 2011 to 2016,2016,Both sexes,20 - 24 years,1954.0
Longford,Population 2011 to 2016,2016,Both sexes,25 - 29 years,2225.0
Longford,Population 2011 to 2016,2016,Both sexes,30 - 34 years,2784.0
Longford,Population 2011 to 2016,2016,Both sexes,35 - 39 years,3197.0
Longford,Population 2011 to 2016,2016,Both sexes,40 - 44 years,2906.0
Longford,Population 2011 to 2016,2016,Both sexes,45 - 49 years,2799.0
Longford,Population 2011 to 2016,2016,Both sexes,50 - 54 years,2485.0
Longford,Population 2011 to 2016,2016,Both sexes,55 - 59 years,2383.0
Longford,Population 2011 to 2016,2016,Both sexes,60 - 64 years,2205.0
Longford,Population 2011 to 2016,2016,Both sexes,65 - 69 years,1990.0
Longford,Population 2011 to 2016,2016,Both sexes,70 - 74 years,1513.0
Longford,Population 2011 to 2016,2016,Both sexes,75 - 79 years,972.0
Longford,Population 2011 to 2016,2016,Both sexes,80 - 84 years,754.0
Longford,Population 2011 to 2016,2016,Both sexes,85 years and over,595.0
Louth,Population 2011 to 2016,2016,Both sexes,All ages,128884.0
Louth,Population 2011 to 2016,2016,Both sexes,0 - 4 years,9473.0
Louth,Population 2011 to 2016,2016,Both sexes,5 - 9 years,10493.0
Louth,Population 2011 to 2016,2016,Both sexes,10 - 14 years,9699.0
Louth,Population 2011 to 2016,2016,Both sexes,15 - 19 years,8548.0
Louth,Population 2011 to 2016,2016,Both sexes,20 - 24 years,7078.0
Louth,Population 2011 to 2016,2016,Both sexes,25 - 29 years,7613.0
Louth,Population 2011 to 2016,2016,Both sexes,30 - 34 years,9256.0
Louth,Population 2011 to 2016,2016,Both sexes,35 - 39 years,10247.0
Louth,Population 2011 to 2016,2016,Both sexes,40 - 44 years,9988.0
Louth,Population 2011 to 2016,2016,Both sexes,45 - 49 years,9250.0
Louth,Population 2011 to 2016,2016,Both sexes,50 - 54 years,8142.0
Louth,Population 2011 to 2016,2016,Both sexes,55 - 59 years,6980.0
Louth,Population 2011 to 2016,2016,Both sexes,60 - 64 years,6040.0
Louth,Population 2011 to 2016,2016,Both sexes,65 - 69 years,5368.0
Louth,Population 2011 to 2016,2016,Both sexes,70 - 74 years,4226.0
Louth,Population 2011 to 2016,2016,Both sexes,75 - 79 years,2923.0
Louth,Population 2011 to 2016,2016,Both sexes,80 - 84 years,1959.0
Louth,Population 2011 to 2016,2016,Both sexes,85 years and over,1601.0
Meath,Population 2011 to 2016,2016,Both sexes,All ages,195044.0
Meath,Population 2011 to 2016,2016,Both sexes,0 - 4 years,15736.0
Meath,Population 2011 to 2016,2016,Both sexes,5 - 9 years,17774.0
Meath,Population 2011 to 2016,2016,Both sexes,10 - 14 years,15421.0
Meath,Population 2011 to 2016,2016,Both sexes,15 - 19 years,12994.0
Meath,Population 2011 to 2016,2016,Both sexes,20 - 24 years,9372.0
Meath,Population 2011 to 2016,2016,Both sexes,25 - 29 years,9773.0
Meath,Population 2011 to 2016,2016,Both sexes,30 - 34 years,14014.0
Meath,Population 2011 to 2016,2016,Both sexes,35 - 39 years,16832.0
Meath,Population 2011 to 2016,2016,Both sexes,40 - 44 years,16635.0
Meath,Population 2011 to 2016,2016,Both sexes,45 - 49 years,14551.0
Meath,Population 2011 to 2016,2016,Both sexes,50 - 54 years,12360.0
Meath,Population 2011 to 2016,2016,Both sexes,55 - 59 years,10124.0
Meath,Population 2011 to 2016,2016,Both sexes,60 - 64 years,8670.0
Meath,Population 2011 to 2016,2016,Both sexes,65 - 69 years,7398.0
Meath,Population 2011 to 2016,2016,Both sexes,70 - 74 years,5539.0
Meath,Population 2011 to 2016,2016,Both sexes,75 - 79 years,3531.0
Meath,Population 2011 to 2016,2016,Both sexes,80 - 84 years,2329.0
Meath,Population 2011 to 2016,2016,Both sexes,85 years and over,1991.0
Offaly,Population 2011 to 2016,2016,Both sexes,All ages,77961.0
Offaly,Population 2011 to 2016,2016,Both sexes,0 - 4 years,5631.0
Offaly,Population 2011 to 2016,2016,Both sexes,5 - 9 years,6239.0
Offaly,Population 2011 to 2016,2016,Both sexes,10 - 14 years,5857.0
Offaly,Population 2011 to 2016,2016,Both sexes,15 - 19 years,5410.0
Offaly,Population 2011 to 2016,2016,Both sexes,20 - 24 years,3948.0
Offaly,Population 2011 to 2016,2016,Both sexes,25 - 29 years,4120.0
Offaly,Population 2011 to 2016,2016,Both sexes,30 - 34 years,5389.0
Offaly,Population 2011 to 2016,2016,Both sexes,35 - 39 years,5924.0
Offaly,Population 2011 to 2016,2016,Both sexes,40 - 44 years,5758.0
Offaly,Population 2011 to 2016,2016,Both sexes,45 - 49 years,5380.0
Offaly,Population 2011 to 2016,2016,Both sexes,50 - 54 years,5156.0
Offaly,Population 2011 to 2016,2016,Both sexes,55 - 59 years,4571.0
Offaly,Population 2011 to 2016,2016,Both sexes,60 - 64 years,3987.0
Offaly,Population 2011 to 2016,2016,Both sexes,65 - 69 years,3537.0
Offaly,Population 2011 to 2016,2016,Both sexes,70 - 74 years,2625.0
Offaly,Population 2011 to 2016,2016,Both sexes,75 - 79 years,1926.0
Offaly,Population 2011 to 2016,2016,Both sexes,80 - 84 years,1385.0
Offaly,Population 2011 to 2016,2016,Both sexes,85 years and over,1118.0
Westmeath,Population 2011 to 2016,2016,Both sexes,All ages,88770.0
Westmeath,Population 2011 to 2016,2016,Both sexes,0 - 4 years,6464.0
Westmeath,Population 2011 to 2016,2016,Both sexes,5 - 9 years,6948.0
Westmeath,Population 2011 to 2016,2016,Both sexes,10 - 14 years,6363.0
Westmeath,Population 2011 to 2016,2016,Both sexes,15 - 19 years,5978.0
Westmeath,Population 2011 to 2016,2016,Both sexes,20 - 24 years,5018.0
Westmeath,Population 2011 to 2016,2016,Both sexes,25 - 29 years,5191.0
Westmeath,Population 2011 to 2016,2016,Both sexes,30 - 34 years,6466.0
Westmeath,Population 2011 to 2016,2016,Both sexes,35 - 39 years,6967.0
Westmeath,Population 2011 to 2016,2016,Both sexes,40 - 44 years,6479.0
Westmeath,Population 2011 to 2016,2016,Both sexes,45 - 49 years,6261.0
Westmeath,Population 2011 to 2016,2016,Both sexes,50 - 54 years,5761.0
Westmeath,Population 2011 to 2016,2016,Both sexes,55 - 59 years,5077.0
Westmeath,Population 2011 to 2016,2016,Both sexes,60 - 64 years,4427.0
Westmeath,Population 2011 to 2016,2016,Both sexes,65 - 69 years,3787.0
Westmeath,Population 2011 to 2016,2016,Both sexes,70 - 74 years,2860.0
Westmeath,Population 2011 to 2016,2016,Both sexes,75 - 79 years,2089.0
Westmeath,Population 2011 to 2016,2016,Both sexes,80 - 84 years,1449.0
Westmeath,Population 2011 to 2016,2016,Both sexes,85 years and over,1185.0
Wexford,Population 2011 to 2016,2016,Both sexes,All ages,149722.0
Wexford,Population 2011 to 2016,2016,Both sexes,0 - 4 years,10327.0
Wexford,Population 2011 to 2016,2016,Both sexes,5 - 9 years,11677.0
Wexford,Population 2011 to 2016,2016,Both sexes,10 - 14 years,10948.0
Wexford,Population 2011 to 2016,2016,Both sexes,15 - 19 years,9779.0
Wexford,Population 2011 to 2016,2016,Both sexes,20 - 24 years,7167.0
Wexford,Population 2011 to 2016,2016,Both sexes,25 - 29 years,7787.0
Wexford,Population 2011 to 2016,2016,Both sexes,30 - 34 years,9784.0
Wexford,Population 2011 to 2016,2016,Both sexes,35 - 39 years,11327.0
Wexford,Population 2011 to 2016,2016,Both sexes,40 - 44 years,11136.0
Wexford,Population 2011 to 2016,2016,Both sexes,45 - 49 years,10742.0
Wexford,Population 2011 to 2016,2016,Both sexes,50 - 54 years,10043.0
Wexford,Population 2011 to 2016,2016,Both sexes,55 - 59 years,9002.0
Wexford,Population 2011 to 2016,2016,Both sexes,60 - 64 years,8018.0
Wexford,Population 2011 to 2016,2016,Both sexes,65 - 69 years,7265.0
Wexford,Population 2011 to 2016,2016,Both sexes,70 - 74 years,5791.0
Wexford,Population 2011 to 2016,2016,Both sexes,75 - 79 years,4151.0
Wexford,Population 2011 to 2016,2016,Both sexes,80 - 84 years,2693.0
Wexford,Population 2011 to 2016,2016,Both sexes,85 years and over,2085.0
Wicklow,Population 2011 to 2016,2016,Both sexes,All ages,142425.0
Wicklow,Population 2011 to 2016,2016,Both sexes,0 - 4 years,10173.0
Wicklow,Population 2011 to 2016,2016,Both sexes,5 - 9 years,11718.0
Wicklow,Population 2011 to 2016,2016,Both sexes,10 - 14 years,10376.0
Wicklow,Population 2011 to 2016,2016,Both sexes,15 - 19 years,9048.0
Wicklow,Population 2011 to 2016,2016,Both sexes,20 - 24 years,7148.0
Wicklow,Population 2011 to 2016,2016,Both sexes,25 - 29 years,7250.0
Wicklow,Population 2011 to 2016,2016,Both sexes,30 - 34 years,9660.0
Wicklow,Population 2011 to 2016,2016,Both sexes,35 - 39 years,11493.0
Wicklow,Population 2011 to 2016,2016,Both sexes,40 - 44 years,11378.0
Wicklow,Population 2011 to 2016,2016,Both sexes,45 - 49 years,10327.0
Wicklow,Population 2011 to 2016,2016,Both sexes,50 - 54 years,9803.0
Wicklow,Population 2011 to 2016,2016,Both sexes,55 - 59 years,8273.0
Wicklow,Population 2011 to 2016,2016,Both sexes,60 - 64 years,7202.0
Wicklow,Population 2011 to 2016,2016,Both sexes,65 - 69 years,6412.0
Wicklow,Population 2011 to 2016,2016,Both sexes,70 - 74 years,4999.0
Wicklow,Population 2011 to 2016,2016,Both sexes,75 - 79 years,3300.0
Wicklow,Population 2011 to 2016,2016,Both sexes,80 - 84 years,2123.0
Wicklow,Population 2011 to 2016,2016,Both sexes,85 years and over,1742.0
Clare,Population 2011 to 2016,2016,Both sexes,All ages,118817.0
Clare,Population 2011 to 2016,2016,Both sexes,0 - 4 years,7901.0
Clare,Population 2011 to 2016,2016,Both sexes,5 - 9 years,8993.0
Clare,Population 2011 to 2016,2016,Both sexes,10 - 14 years,8678.0
Clare,Population 2011 to 2016,2016,Both sexes,15 - 19 years,7910.0
Clare,Population 2011 to 2016,2016,Both sexes,20 - 24 years,5753.0
Clare,Population 2011 to 2016,2016,Both sexes,25 - 29 years,5630.0
Clare,Population 2011 to 2016,2016,Both sexes,30 - 34 years,7451.0
Clare,Population 2011 to 2016,2016,Both sexes,35 - 39 years,8879.0
Clare,Population 2011 to 2016,2016,Both sexes,40 - 44 years,9118.0
Clare,Population 2011 to 2016,2016,Both sexes,45 - 49 years,8740.0
Clare,Population 2011 to 2016,2016,Both sexes,50 - 54 years,8063.0
Clare,Population 2011 to 2016,2016,Both sexes,55 - 59 years,7407.0
Clare,Population 2011 to 2016,2016,Both sexes,60 - 64 years,6639.0
Clare,Population 2011 to 2016,2016,Both sexes,65 - 69 years,6156.0
Clare,Population 2011 to 2016,2016,Both sexes,70 - 74 years,4575.0
Clare,Population 2011 to 2016,2016,Both sexes,75 - 79 years,3061.0
Clare,Population 2011 to 2016,2016,Both sexes,80 - 84 years,2077.0
Clare,Population 2011 to 2016,2016,Both sexes,85 years and over,1786.0
Cork,Population 2011 to 2016,2016,Both sexes,All ages,542868.0
Cork,Population 2011 to 2016,2016,Both sexes,0 - 4 years,37642.0
Cork,Population 2011 to 2016,2016,Both sexes,5 - 9 years,40445.0
Cork,Population 2011 to 2016,2016,Both sexes,10 - 14 years,35444.0
Cork,Population 2011 to 2016,2016,Both sexes,15 - 19 years,34846.0
Cork,Population 2011 to 2016,2016,Both sexes,20 - 24 years,32500.0
Cork,Population 2011 to 2016,2016,Both sexes,25 - 29 years,32443.0
Cork,Population 2011 to 2016,2016,Both sexes,30 - 34 years,40401.0
Cork,Population 2011 to 2016,2016,Both sexes,35 - 39 years,44145.0
Cork,Population 2011 to 2016,2016,Both sexes,40 - 44 years,40686.0
Cork,Population 2011 to 2016,2016,Both sexes,45 - 49 years,37355.0
Cork,Population 2011 to 2016,2016,Both sexes,50 - 54 years,34954.0
Cork,Population 2011 to 2016,2016,Both sexes,55 - 59 years,30936.0
Cork,Population 2011 to 2016,2016,Both sexes,60 - 64 years,27228.0
Cork,Population 2011 to 2016,2016,Both sexes,65 - 69 years,24135.0
Cork,Population 2011 to 2016,2016,Both sexes,70 - 74 years,18681.0
Cork,Population 2011 to 2016,2016,Both sexes,75 - 79 years,13520.0
Cork,Population 2011 to 2016,2016,Both sexes,80 - 84 years,9742.0
Cork,Population 2011 to 2016,2016,Both sexes,85 years and over,7765.0
Kerry,Population 2011 to 2016,2016,Both sexes,All ages,147707.0
Kerry,Population 2011 to 2016,2016,Both sexes,0 - 4 years,9020.0
Kerry,Population 2011 to 2016,2016,Both sexes,5 - 9 years,10153.0
Kerry,Population 2011 to 2016,2016,Both sexes,10 - 14 years,9618.0
Kerry,Population 2011 to 2016,2016,Both sexes,15 - 19 years,9106.0
Kerry,Population 2011 to 2016,2016,Both sexes,20 - 24 years,6715.0
Kerry,Population 2011 to 2016,2016,Both sexes,25 - 29 years,7114.0
Kerry,Population 2011 to 2016,2016,Both sexes,30 - 34 years,9722.0
Kerry,Population 2011 to 2016,2016,Both sexes,35 - 39 years,11025.0
Kerry,Population 2011 to 2016,2016,Both sexes,40 - 44 years,10687.0
Kerry,Population 2011 to 2016,2016,Both sexes,45 - 49 years,10418.0
Kerry,Population 2011 to 2016,2016,Both sexes,50 - 54 years,10152.0
Kerry,Population 2011 to 2016,2016,Both sexes,55 - 59 years,9787.0
Kerry,Population 2011 to 2016,2016,Both sexes,60 - 64 years,9156.0
Kerry,Population 2011 to 2016,2016,Both sexes,65 - 69 years,8584.0
Kerry,Population 2011 to 2016,2016,Both sexes,70 - 74 years,6540.0
Kerry,Population 2011 to 2016,2016,Both sexes,75 - 79 years,4427.0
Kerry,Population 2011 to 2016,2016,Both sexes,80 - 84 years,3024.0
Kerry,Population 2011 to 2016,2016,Both sexes,85 years and over,2459.0
Limerick,Population 2011 to 2016,2016,Both sexes,All ages,194899.0
Limerick,Population 2011 to 2016,2016,Both sexes,0 - 4 years,13135.0
Limerick,Population 2011 to 2016,2016,Both sexes,5 - 9 years,14018.0
Limerick,Population 2011 to 2016,2016,Both sexes,10 - 14 years,12441.0
Limerick,Population 2011 to 2016,2016,Both sexes,15 - 19 years,13224.0
Limerick,Population 2011 to 2016,2016,Both sexes,20 - 24 years,12610.0
Limerick,Population 2011 to 2016,2016,Both sexes,25 - 29 years,11795.0
Limerick,Population 2011 to 2016,2016,Both sexes,30 - 34 years,14255.0
Limerick,Population 2011 to 2016,2016,Both sexes,35 - 39 years,15208.0
Limerick,Population 2011 to 2016,2016,Both sexes,40 - 44 years,14079.0
Limerick,Population 2011 to 2016,2016,Both sexes,45 - 49 years,12913.0
Limerick,Population 2011 to 2016,2016,Both sexes,50 - 54 years,12073.0
Limerick,Population 2011 to 2016,2016,Both sexes,55 - 59 years,11369.0
Limerick,Population 2011 to 2016,2016,Both sexes,60 - 64 years,10361.0
Limerick,Population 2011 to 2016,2016,Both sexes,65 - 69 years,9298.0
Limerick,Population 2011 to 2016,2016,Both sexes,70 - 74 years,7103.0
Limerick,Population 2011 to 2016,2016,Both sexes,75 - 79 years,5004.0
Limerick,Population 2011 to 2016,2016,Both sexes,80 - 84 years,3363.0
Limerick,Population 2011 to 2016,2016,Both sexes,85 years and over,2650.0
Tipperary,Population 2011 to 2016,2016,Both sexes,All ages,159553.0
Tipperary,Population 2011 to 2016,2016,Both sexes,0 - 4 years,10874.0
Tipperary,Population 2011 to 2016,2016,Both sexes,5 - 9 years,11951.0
Tipperary,Population 2011 to 2016,2016,Both sexes,10 - 14 years,11210.0
Tipperary,Population 2011 to 2016,2016,Both sexes,15 - 19 years,10554.0
Tipperary,Population 2011 to 2016,2016,Both sexes,20 - 24 years,7752.0
Tipperary,Population 2011 to 2016,2016,Both sexes,25 - 29 years,8106.0
Tipperary,Population 2011 to 2016,2016,Both sexes,30 - 34 years,10375.0
Tipperary,Population 2011 to 2016,2016,Both sexes,35 - 39 years,11809.0
Tipperary,Population 2011 to 2016,2016,Both sexes,40 - 44 years,11713.0
Tipperary,Population 2011 to 2016,2016,Both sexes,45 - 49 years,11270.0
Tipperary,Population 2011 to 2016,2016,Both sexes,50 - 54 years,10785.0
Tipperary,Population 2011 to 2016,2016,Both sexes,55 - 59 years,9842.0
Tipperary,Population 2011 to 2016,2016,Both sexes,60 - 64 years,8914.0
Tipperary,Population 2011 to 2016,2016,Both sexes,65 - 69 years,7909.0
Tipperary,Population 2011 to 2016,2016,Both sexes,70 - 74 years,6171.0
Tipperary,Population 2011 to 2016,2016,Both sexes,75 - 79 years,4384.0
Tipperary,Population 2011 to 2016,2016,Both sexes,80 - 84 years,3265.0
Tipperary,Population 2011 to 2016,2016,Both sexes,85 years and over,2669.0
Waterford,Population 2011 to 2016,2016,Both sexes,All ages,116176.0
Waterford,Population 2011 to 2016,2016,Both sexes,0 - 4 years,7614.0
Waterford,Population 2011 to 2016,2016,Both sexes,5 - 9 years,8716.0
Waterford,Population 2011 to 2016,2016,Both sexes,10 - 14 years,8215.0
Waterford,Population 2011 to 2016,2016,Both sexes,15 - 19 years,7685.0
Waterford,Population 2011 to 2016,2016,Both sexes,20 - 24 years,6115.0
Waterford,Population 2011 to 2016,2016,Both sexes,25 - 29 years,6261.0
Waterford,Population 2011 to 2016,2016,Both sexes,30 - 34 years,7562.0
Waterford,Population 2011 to 2016,2016,Both sexes,35 - 39 years,9027.0
Waterford,Population 2011 to 2016,2016,Both sexes,40 - 44 years,8454.0
Waterford,Population 2011 to 2016,2016,Both sexes,45 - 49 years,8196.0
Waterford,Population 2011 to 2016,2016,Both sexes,50 - 54 years,7825.0
Waterford,Population 2011 to 2016,2016,Both sexes,55 - 59 years,6864.0
Waterford,Population 2011 to 2016,2016,Both sexes,60 - 64 years,6271.0
Waterford,Population 2011 to 2016,2016,Both sexes,65 - 69 years,5707.0
Waterford,Population 2011 to 2016,2016,Both sexes,70 - 74 years,4505.0
Waterford,Population 2011 to 2016,2016,Both sexes,75 - 79 years,3202.0
Waterford,Population 2011 to 2016,2016,Both sexes,80 - 84 years,2245.0
Waterford,Population 2011 to 2016,2016,Both sexes,85 years and over,1712.0
Galway,Population 2011 to 2016,2016,Both sexes,All ages,258058.0
Galway,Population 2011 to 2016,2016,Both sexes,0 - 4 years,17799.0
Galway,Population 2011 to 2016,2016,Both sexes,5 - 9 years,18885.0
Galway,Population 2011 to 2016,2016,Both sexes,10 - 14 years,17198.0
Galway,Population 2011 to 2016,2016,Both sexes,15 - 19 years,16600.0
Galway,Population 2011 to 2016,2016,Both sexes,20 - 24 years,16470.0
Galway,Population 2011 to 2016,2016,Both sexes,25 - 29 years,15304.0
Galway,Population 2011 to 2016,2016,Both sexes,30 - 34 years,18859.0
Galway,Population 2011 to 2016,2016,Both sexes,35 - 39 years,21175.0
Galway,Population 2011 to 2016,2016,Both sexes,40 - 44 years,19420.0
Galway,Population 2011 to 2016,2016,Both sexes,45 - 49 years,17691.0
